DiseaseName,AssociatedGenes
"Ectodermal dysplasia 9, hair/nail type",HOXC13
Ectodermal dysplasia and immunodeficiency 1,IKBKG
Ectodermal dysplasia and immunodeficiency 2,NFKBIA
"Ectodermal dysplasia with facial dysmorphism and acral, ocular, and brain anomalies",RHOA
Ectodermal dysplasia/short stature syndrome,GRHL2
Ectopia lentis,
"Ectopia lentis 2, isolated, autosomal recessive",ADAMTSL4
Ectopia lentis et pupillae,ADAMTSL4
"Ectopia lentis, isolated, autosomal dominant",FBN1
"Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3",TP63
"Eculizumab, poor response to",C5
EDICT syndrome,MIR184
EEM syndrome,CDH3
Efavirenz response,CYP2B6
Ehlers-Danlos syndrome classic type 2,COL5A2
Ehlers-Danlos syndrome dermatosparaxis type,ADAMTS2
Ehlers-Danlos syndrome due to tenascin-X deficiency,TNXB
"Ehlers-Danlos syndrome with progressive kyphoscoliosis, myopathy, and hearing loss",FKBP14
"Ehlers-danlos syndrome, arthrochalasia type, 2",COL1A2
"Ehlers-Danlos syndrome, cardiac valvular type",COL1A2
"Ehlers-danlos syndrome, classic-like, 2",AEBP1
"Ehlers-Danlos syndrome, classic type I",COL5A1
"Ehlers-Danlos syndrome, hydroxylysine-deficient",PLOD1
"Ehlers-Danlos syndrome, musculocontractural type 1",CHST14
"Ehlers-Danlos syndrome, musculocontractural type 2",DSE
"Ehlers-Danlos syndrome, periodontal type, 1",C1R
"Ehlers-Danlos syndrome, periodontal type, 2",C1S
"Ehlers-Danlos syndrome, procollagen proteinase deficient","COL1A1, "
"Ehlers-Danlos syndrome, progeroid type, 2",B3GALT6
"Ehlers-Danlos syndrome, spondylodysplastic type, 1",B4GALT7
"Ehlers-Danlos syndrome, type 4",COL3A1
Eichsfeld type congenital muscular dystrophy,SELENON
Eiken syndrome,PTH1R
Elevated serum creatine phosphokinase,CAV3
Eliglustat response,CYP2D6
Elliptocytosis 1,EPB41
Elliptocytosis 2,SPTA1
Elliptocytosis 3,SPTB
Ellis-van Creveld syndrome,"EVC, EVC2"
Elsahy-Waters syndrome,CDH11
Emery-Dreifuss muscular dystrophy,
"Emery-Dreifuss muscular dystrophy 1, X-linked",EMD
"Emery-Dreifuss muscular dystrophy 2, autosomal dominant",LMNA
"Emery-Dreifuss muscular dystrophy 3, autosomal recessive",LMNA
"Emery-Dreifuss muscular dystrophy 4, autosomal dominant",SYNE1
"Emery-Dreifuss muscular dystrophy 5, autosomal dominant",SYNE2
"Emery-Dreifuss muscular dystrophy 7, autosomal dominant",TMEM43
"ENCEPHALITIS, ACUTE, INFECTION (VIRAL)-INDUCED, SUSCEPTIBILITY TO, 11",DBR1
"Encephalitis/encephalopathy, mild, with reversible myelin vacuolization",MYRF
Encephalocraniocutaneous lipomatosis,FGFR1
Encephalopathy due to defective mitochondrial and peroxisomal fission 1,DNM1L
Encephalopathy due to defective mitochondrial and peroxisomal fission 2,MFF
"ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 10",SNORA31
"Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 8",TBK1
"Encephalopathy, acute, infection-induced, 3, suceptibility to",RANBP2
"Encephalopathy, acute, infection-induced, 4, susceptibility to",CPT2
"Encephalopathy, acute, infection-induced, susceptibility to, 9",NUP214
"Encephalopathy, familial, with neuroserpin inclusion bodies",SERPINI1
"Encephalopathy, neonatal severe, with lactic acidosis and brain abnormalities",LIPT2
"Encephalopathy, progressive, early-onset, with brain atrophy and thin corpus callosum",TBCD
"Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy",
"Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy 1",NAXE
"Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy, 2",NAXD
"Encephalopathy, progressive, early-onset, with episodic rhabdomyolysis",TRAPPC2L
"Encephalopathy, progressive, with amyotrophy and optic atrophy",TBCE
"Encephalopathy, progressive, with or without lipodystrophy",BSCL2
Endocrine-cerebroosteodysplasia,CILK1
Endometrial cancer,
Endometrial carcinoma,"CDH1, MLH3, MSH3, MSH6"
"Endove syndrome, limb-brain type",EN1
Endplate acetylcholinesterase deficiency,COLQ
Enhanced S-cone syndrome,NR2E3
Enlarged parietal foramina,
Enterokinase deficiency,TMPRSS15
Eosinophil peroxidase deficiency,EPX
Epidermal nevus,"FGFR3, HRAS, NRAS, PIK3CA"
Epidermal nevus syndrome,"HRAS, KRAS, NRAS"
"EPIDERMODYSPLASIA VERRUCIFORMIS, SUSCEPTIBILITY TO, 1",TMC6
"Epidermodysplasia verruciformis, susceptibility to, 2",TMC8
"Epidermodysplasia verruciformis, susceptibility to, 3",CIB1
"Epidermodysplasia verruciformis, susceptibility to, 4",RHOH
"Epidermodysplasia verruciformis, susceptibility to, 5",IL7
Epidermolysis bullosa junctionalis with pyloric atresia,"ITGA6, ITGB4, PLEC"
Epidermolysis bullosa pruriginosa,COL7A1
Epidermolysis bullosa simplex,
Epidermolysis bullosa simplex Dowling-Meara type,"KRT14, KRT5"
Epidermolysis bullosa simplex due to plakophilin deficiency,PKP1
Epidermolysis bullosa simplex with migratory circinate erythema,KRT5
Epidermolysis bullosa simplex with mottled pigmentation,KRT5
Epidermolysis bullosa simplex with muscular dystrophy,PLEC
Epidermolysis bullosa simplex with nail dystrophy,PLEC
Epidermolysis bullosa simplex with pyloric atresia,PLEC
"Epidermolysis bullosa simplex, autosomal recessive","KRT14, KRT5"
"Epidermolysis bullosa simplex, autosomal recessive 2",DST
"Epidermolysis bullosa simplex, generalized, with scarring and hair loss",KLHL24
"Epidermolysis bullosa simplex, Koebner type","KRT14, KRT5"
"Epidermolysis bullosa simplex, Ogna type",PLEC
"Epidermolysis bullosa, nonspecific, autosomal recessive",EXPH5
Epidermolytic palmoplantar keratoderma,"KRT1, KRT9"
Epilepsy with grand mal seizures on awakening,CLCN2
"Epilepsy, childhood absence 1",
"Epilepsy, childhood absence 2",GABRG2
"Epilepsy, childhood absence 5",GABRB3
"Epilepsy, childhood absence 6",CACNA1H
"Epilepsy, early-onset, vitamin b6-dependent",PLPBP
"Epilepsy, early-onset, with or without developmental delay",SETD1A
"Epilepsy, familial adult myoclonic 2",STARD7
"Epilepsy, familial adult myoclonic, 1",SAMD12
"Epilepsy, familial adult myoclonic, 3",MARCHF6
"Epilepsy, familial adult myoclonic, 4",YEATS2
"Epilepsy, familial adult myoclonic, 5",CNTN2
"Epilepsy, familial adult myoclonic, 6",TNRC6A
"Epilepsy, familial adult myoclonic, 7",RAPGEF2
"Epilepsy, familial focal, with variable foci 1",DEPDC5
"Epilepsy, familial focal, with variable foci 2",NPRL2
"Epilepsy, familial focal, with variable foci 3",NPRL3
"Epilepsy, familial focal, with variable foci 4",SCN3A
"Epilepsy, familial temporal lobe, 5",CPA6
"Epilepsy, familial temporal lobe, 7",RELN
"Epilepsy, familial temporal lobe, 8",GAL
"Epilepsy, focal, with speech disorder and with or without mental retardation",GRIN2A
"Epilepsy, hearing loss, and mental retardation syndrome",SPATA5
"Epilepsy, idiopathic generalized 10",GABRD
"Epilepsy, idiopathic generalized 8",CASR
"Epilepsy, idiopathic generalized 9",CACNB4
"Epilepsy, idiopathic generalized, susceptibility to, 12",SLC2A1
"Epilepsy, idiopathic generalized, susceptibility to, 14",SLC12A5
"Epilepsy, idiopathic generalized, susceptibility to, 15",RORB
"Epilepsy, idiopathic generalized, susceptibility to, 16",KCNMA1
"Epilepsy, juvenile absence, susceptibility to, 1","EFHC1, "
"Epilepsy, juvenile myoclonic 5",GABRA1
"Epilepsy, juvenile myoclonic, susceptibility to, 10",CILK1
"Epilepsy, nocturnal frontal lobe, 5",KCNT1
"Epilepsy, nocturnal frontal lobe, type 1",CHRNA4
"Epilepsy, nocturnal frontal lobe, type 3",CHRNB2
"Epilepsy, nocturnal frontal lobe, type 4",CHRNA2
"Epilepsy, progressive myoclonic 3",KCTD7
"Epilepsy, progressive myoclonic 4, with or without renal failure",SCARB2
"Epilepsy, progressive myoclonic 6",GOSR2
"Epilepsy, progressive myoclonic 7",KCNC1
"Epilepsy, progressive myoclonic 8",CERS1
"Epilepsy, progressive myoclonic, 10",PRDM8
"Epilepsy, progressive myoclonic, 11",SEMA6B
"Epilepsy, progressive myoclonic, 12",SLC7A6OS
"Epilepsy, progressive myoclonic, 9",LMNB2
"Epilepsy, X-linked, with variable learning disabilities and behavior disorders",SYN1
"Epileptic encephalopathy, early infantile, 1",ARX
"Epileptic encephalopathy, early infantile, 19",GABRA1
"Epileptic encephalopathy, early infantile, 23",DOCK7
"Epileptic encephalopathy, early infantile, 24",HCN1
"Epileptic encephalopathy, early infantile, 25",SLC13A5
"Epileptic encephalopathy, early infantile, 26",KCNB1
"Epileptic encephalopathy, early infantile, 27",GRIN2B
"Epileptic encephalopathy, early infantile, 28",WWOX
"Epileptic encephalopathy, early infantile, 29",AARS1
"Epileptic encephalopathy, early infantile, 3",SLC25A22
"Epileptic encephalopathy, early infantile, 30",SIK1
"Epileptic encephalopathy, early infantile, 31",DNM1
"Epileptic encephalopathy, early infantile, 32",KCNA2
"Epileptic encephalopathy, early infantile, 33",EEF1A2
"Epileptic encephalopathy, early infantile, 35",ITPA
"Epileptic encephalopathy, early infantile, 36",ALG13
"Epileptic encephalopathy, early infantile, 37",FRRS1L
"Epileptic encephalopathy, early infantile, 38",ARV1
"Epileptic encephalopathy, early infantile, 40",GUF1
"Epileptic encephalopathy, early infantile, 41",SLC1A2
"Epileptic encephalopathy, early infantile, 42",CACNA1A
"Epileptic encephalopathy, early infantile, 43",GABRB3
"Epileptic encephalopathy, early infantile, 44",UBA5
"Epileptic encephalopathy, early infantile, 45",GABRB1
"Epileptic encephalopathy, early infantile, 46",GRIN2D
"Epileptic encephalopathy, early infantile, 47",FGF12
"Epileptic encephalopathy, early infantile, 48",AP3B2
"Epileptic encephalopathy, early infantile, 49",DENND5A
"Epileptic encephalopathy, early infantile, 50",CAD
"Epileptic encephalopathy, early infantile, 51",MDH2
"Epileptic encephalopathy, early infantile, 52",SCN1B
"Epileptic encephalopathy, early infantile, 53",SYNJ1
"Epileptic encephalopathy, early infantile, 54",HNRNPU
"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 82",GOT2
"Epileptic encephalopathy, infantile or early childhood 3",ATP6V1A
"Epiphyseal chondrodysplasia, miura type",NPR2
"Epiphyseal dysplasia, multiple, 2",COL9A2
"Epiphyseal dysplasia, multiple, 3",COL9A3
"Epiphyseal dysplasia, multiple, 7",CANT1
"Epiphyseal dysplasia, multiple, with myopia and conductive deafness",COL2A1
Episodic ataxia,
Episodic ataxia type 1,KCNA1
Episodic ataxia type 2,CACNA1A
Episodic ataxia type 9,SCN2A
"Episodic ataxia, type 5",CACNB4
"Episodic ataxia, type 6",SLC1A3
Episodic kinesigenic dyskinesia 1,PRRT2
"Episodic pain syndrome, familial, 2",SCN10A
"Episodic pain syndrome, familial, 3",SCN11A
Epithelial recurrent erosion dystrophy,COL17A1
ERCC1-Related Xeroderma Pigmentosum,ERCC1
Erythrocyte AMP deaminase deficiency,AMPD3
Erythrocyte lactate transporter defect,SLC16A1
"Erythrocytosis 6, familial",HBB
"Erythrocytosis, familial, 2",VHL
"Erythrocytosis, familial, 3",EGLN1
"Erythrocytosis, familial, 4",EPAS1
"Erythrocytosis, familial, 5",EPO
"Erythrocytosis, familial, 7","HBA1, HBA2"
"Erythroderma, congenital, with palmoplantar keratoderma, hypotrichosis, and hyper-ige",DSG1
"Erythroderma, ichthyosiform, congenital reticular",KRT10
Erythrokeratodermia variabilis et progressiva 1,GJB3
Erythrokeratodermia variabilis et progressiva 2,GJB4
Erythrokeratodermia variabilis et progressiva 3,GJA1
Erythrokeratodermia variabilis et progressiva 4,KDSR
Erythrokeratodermia variabilis et progressiva 5,KRT83
ERYTHROKERATODERMIA VARIABILIS ET PROGRESSIVA 6,TRPM4
Erythrokeratodermia variabilis et progressiva 7,PERP
Escitalopram response,CYP2C19
Esomeprazole response,"CYP2C19, CYP3A4"
Essential hypertension,"ADD1, AGT, AGTR1, ATP1B1, CYP3A5, ECE1, GNB3, NOS3, PTGIS, RGS5"
Essential pentosuria,DCXR
essential thrombocytemia,
Essential tremor,
Estrogen resistance,ESR1
Ethylmalonic encephalopathy,ETHE1
Even-plus syndrome,HSPA9
Ewing sarcoma,EWSR1
Exercise-induced hyperinsulinism,SLC16A1
"Exercise intolerance, riboflavin-responsive",SLC25A32
"Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis",COX4I2
Extraoral halitosis due to methanethiol oxidase deficiency,SELENBP1
Extraskeletal myxoid chondrosarcoma,"NR4A3, TAF15"
Exudative vitreoretinopathy 1,"FZD4, LRP5"
Exudative vitreoretinopathy 4,LRP5
Exudative vitreoretinopathy 5,TSPAN12
Exudative vitreoretinopathy 6,ZNF408
Exudative vitreoretinopathy 7,CTNNB1
Fabry disease,GLA
"Facial dysmorphism, hypertrichosis, epilepsy, intellectual/developmental delay, and gingival overgrowth syndrome",KCNK4
"Facial dysmorphism, immunodeficiency, livedo, and short stature",POLE
"Facial dysmorphism, lens dislocation, anterior segment abnormalities, and spontaneous filtering blebs",ASPH
"Facial palsy, congenital, with ptosis and velopharyngeal dysfunction",TUBB6
Faciodigitogenital syndrome,
Facioscapulohumeral muscular dystrophy 1a,FRG1
Facioscapulohumeral muscular dystrophy 2,SMCHD1
Factor H deficiency,CFH
Factor I deficiency,CFI
"Factor v and factor viii, combined deficiency of, 2",MCFD2
Factor V deficiency,F5
Factor VII deficiency,F7
Factor X deficiency,
Factor XII deficiency disease,F12
"Factor XIII, A subunit, deficiency of",F13A1
"Factor XIII, b subunit, deficiency of",F13B
"Failure of tooth eruption, primary",PTH1R
Familial acne inversa 1,NCSTN
Familial adenomatous polyposis 1,"APC, "
Familial adenomatous polyposis 3,NTHL1
Familial adenomatous polyposis 4,MSH3
Familial advanced sleep phase syndrome 1,PER2
Familial amyloid nephropathy with urticaria AND deafness,NLRP3
Familial aortopathy,
Familial atrial myxoma,PRKAR1A
Familial Atypical Mole Melanoma Syndrome,
"Familial atypical mycobacteriosis, type 1, X-linked",IKBKG
Familial avascular necrosis of the femoral head,
Familial benign pemphigus,ATP2C1
Familial cancer of breast,"AKT1, ATM, BARD1, BRCA1, BRCA2, BRIP1, CASP8, CDH1, CHEK2, ESR1, HMMR, KRAS, NQO2, PALB2, PHB, PIK3CA, PPM1D, RAD51, RAD54L, RB1CC1, SLC22A18, TP53, XRCC3, "
Familial chronic mucocutaneous candidiasis,CLEC7A
Familial chylomicronemia syndrome,
Familial cirrhosis,"KRT18, KRT8"
Familial cold autoinflammatory syndrome,
Familial cold autoinflammatory syndrome 1,NLRP3
Familial cold autoinflammatory syndrome 2,NLRP12
Familial cold autoinflammatory syndrome 3,PLCG2
Familial cold autoinflammatory syndrome 4,NLRC4
Familial colorectal cancer,
Familial dysautonomia,ELP1
Familial episodic pain syndrome 1,TRPA1
Familial erythrocytosis,
Familial expansile osteolysis,TNFRSF11A
"Familial exudative vitreoretinopathy, autosomal dominant",
"Familial exudative vitreoretinopathy, X-linked",NDP
Familial hemiplegic migraine,
Familial hemiplegic migraine type 1,CACNA1A
Familial hemiplegic migraine type 2,ATP1A2
Familial hemiplegic migraine type 3,SCN1A
Familial hemophagocytic lymphohistiocytosis,
Familial hemophagocytic lymphohistiocytosis 2,PRF1
Familial hemophagocytic lymphohistiocytosis 3,UNC13D
Familial hemophagocytic lymphohistiocytosis 4,STX11
Familial hyperaldosteronism,
Familial hyperaldosteronism type 3,KCNJ5
Familial hypercholesterolemia,"APOB, LDLR, PCSK9, "
Familial hypercholesterolemia 1,"APOA2, EPHX2, GHR, LDLR, PPP1R17"
Familial hypercholesterolemia 2,APOB
Familial hypercholesterolemia 3,PCSK9
Familial hypercholesterolemia 4,LDLRAP1
Familial hyperinsulinism,"HNF4A, "
Familial hyperkalemic periodic paralysis,SCN4A
Familial hyperprolactinemia,PRLR
Familial hypertriglyceridemia,APOA5
Familial hypertrophic cardiomyopathy 1,"CAV3, MYH6, MYH7, MYLK2"
Familial hypertrophic cardiomyopathy 10,MYL2
Familial hypertrophic cardiomyopathy 11,ACTC1
Familial hypertrophic cardiomyopathy 12,CSRP3
Familial hypertrophic cardiomyopathy 13,TNNC1
Familial hypertrophic cardiomyopathy 14,MYH6
Familial hypertrophic cardiomyopathy 15,VCL
Familial hypertrophic cardiomyopathy 16,MYOZ2
Familial hypertrophic cardiomyopathy 17,JPH2
Familial hypertrophic cardiomyopathy 18,PLN
Familial hypertrophic cardiomyopathy 2,TNNT2
Familial hypertrophic cardiomyopathy 20,NEXN
Familial hypertrophic cardiomyopathy 3,TPM1
Familial hypertrophic cardiomyopathy 4,MYBPC3
Familial hypertrophic cardiomyopathy 6,PRKAG2
Familial hypertrophic cardiomyopathy 7,TNNI3
Familial hypertrophic cardiomyopathy 8,MYL3
Familial hypertrophic cardiomyopathy 9,TTN
Familial hypoalphalipoproteinemia,ABCA1
Familial hypokalemia-hypomagnesemia,SLC12A3
Familial idiopathic hypercalciuria,ADCY10
Familial idiopathic steroid-resistant nephrotic syndrome,
Familial infantile myasthenia,CHAT
Familial isolated deficiency of vitamin E,TTPA
Familial juvenile hyperuricemic nephropathy type 1,UMOD
Familial Mediterranean fever,MEFV
"Familial mediterranean fever, autosomal dominant",MEFV
Familial medullary thyroid carcinoma,RET
Familial multiple nevi flammei,GNAQ
Familial multiple polyposis syndrome,APC
Familial multiple trichoepitheliomata,
Familial or sporadic hemiplegic migraine,
Familial partial lipodystrophy,
Familial partial lipodystrophy 2,LMNA
Familial partial lipodystrophy 3,PPARG
Familial partial lipodystrophy 4,PLIN1
Familial partial lipodystrophy 5,CIDEC
Familial partial lipodystrophy 6,LIPE
Familial platelet disorder with associated myeloid malignancy,RUNX1
Familial porphyria cutanea tarda,"HFE, UROD"
Familial progressive hyperpigmentation with or without hypopigmentation,KITLG
Familial renal glucosuria,SLC5A2
Familial renal hypouricemia,SLC22A12
Familial restrictive cardiomyopathy,
Familial restrictive cardiomyopathy 1,TNNI3
Familial restrictive cardiomyopathy 3,TNNT2
Familial temporal lobe epilepsy 1,"LGI1, MICAL1, RELN"
Familial thoracic aortic aneurysm and aortic dissection,"ACTA2, FBN1, MYH11, MYLK, SMAD3, TGFBR1, TGFBR2, "
Familial type 3 hyperlipoproteinemia,APOE
Familial type 5 hyperlipoproteinemia,APOA5
Familial ventricular tachycardia,GNAI2
Familial vesicoureteral reflux,
"Familial visceral amyloidosis, Ostertag type","APOA1, B2M, FGA, LYZ"
Familial X-linked hypophosphatemic vitamin D refractory rickets,PHEX
Fanconi-Bickel syndrome,SLC2A2
Fanconi anemia,
"Fanconi anemia, complementation group A",FANCA
"Fanconi anemia, complementation group B",FANCB
"Fanconi anemia, complementation group C",FANCC
"Fanconi anemia, complementation group D1",BRCA2
"Fanconi anemia, complementation group D2",FANCD2
"Fanconi anemia, complementation group E",FANCE
"Fanconi anemia, complementation group F",FANCF
"Fanconi anemia, complementation group G",FANCG
"Fanconi anemia, complementation group I",FANCI
"Fanconi anemia, complementation group J",BRIP1
"Fanconi anemia, complementation group L",FANCL
"Fanconi anemia, complementation group N",PALB2
"Fanconi anemia, complementation group O",RAD51C
"Fanconi anemia, complementation group P",SLX4
"Fanconi anemia, complementation group Q",ERCC4
"Fanconi anemia, complementation group R",RAD51
"Fanconi anemia, complementation group S",BRCA1
"Fanconi anemia, complementation group T",UBE2T
"Fanconi anemia, complementation group U",XRCC2
"Fanconi anemia, complementation group V",MAD2L2
"Fanconi anemia, complementation group W",RFWD3
Fanconi renotubular syndrome 1,GATM
Fanconi renotubular syndrome 2,SLC34A1
Fanconi renotubular syndrome 3,EHHADH
Fanconi renotubular syndrome 4 with maturity-onset diabetes of the young,HNF4A
Fanconi renotubular syndrome 5,NDUFAF6
Farber disease,ASAH1
Fasting plasma glucose level quantitative trait locus 5,GCKR
Fatal familial insomnia,PRNP
Fatal infantile hypertonic myofibrillar myopathy,CRYAB
FAUNDES-BANKA SYNDROME,EIF5A
"Febrile seizures, familial, 11",CPA6
"Febrile seizures, familial, 4",ADGRV1
Feingold syndrome 1,MYCN
Fetal akinesia deformation sequence 2,RAPSN
Fetal akinesia deformation sequence 3,DOK7
Fetal akinesia deformation sequence 4,NUP88
Fetal hemoglobin quantitative trait locus 1,"HBB, HBG1, HBG2"
Fetal hemoglobin quantitative trait locus 6,KLF1
FG syndrome 1,MED12
FG syndrome 2,FLNA
